REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Claude Blanchard	1930-11-05	Le Petit Parisien	Addis-Abeba	Ethiopie	8.984158	38.760294	Comment Haïle Sélassié fut sacré 'roi des rois'	https://www.retronews.fr/journal/le-petit-parisien/5-novembre-1930/2/58434/1
Claude Blanchard	1934-01-21	Le Petit Parisien	Amsterdam	Hollande	52.369995	4.903480	Chez les Juifs d'Amsterdam	https://www.retronews.fr/journal/le-petit-parisien/21-janvier-1934/2/57054/1
Claude Blanchard	1928-06-22	Le Petit Journal	Hambourg	Allemagne	53.548042	9.962085	Coup d'œil sur Hambourg III. • Les animaux chez eux	https://www.retronews.fr/journal/le-petit-journal/22-juin-1928/100/425299/1
Claude Blanchard	1934-07-12	Le Petit Parisien	Hodeidah	Yémen	42.972209	14.792331	L'iman Yéhia et sa résidence	https://www.retronews.fr/journal/le-petit-parisien/12-juillet-1934/2
Claude Blanchard	1934-01-08	Le Petit Parisien	La Haye	Hollande	52.071195	4.301970	Les deux Hollande l'artificelle et la vraie	https://www.retronews.fr/journal/le-petit-parisien/8-janvier-1934/2/57080/1
Claude Blanchard	1930-08-11	Le Petit Parisien	Los Angelès & San Francisco	Etats-Unis	34.051181	-118.230157	À travers l'Ouest américain	https://www.retronews.fr/journal/le-petit-parisien/11-aout-1930/2/58570/1
Claude Blanchard	1939-03-05	Paris-Soir	New York	Etats-Unis	40.713497	-73.990610	Les nouveaux mystères de New-York	https://www.retronews.fr/journal/paris-soir/5-mars-1939/131/104151/1
Claude Blanchard	1931-10-03	Le Petit Parisien	Paris	France	48.86669293	2.333335326	Paris!...Mon Paris!…	https://www.retronews.fr/journal/le-petit-parisien/3-octobre-1931/2/1992885/1
Claude Blanchard	1938-04-08	Paris-Soir	Perpignan	France	42.690687	2.894536	Si les troupes de France voulaient entrer à Llivia	https://www.retronews.fr/journal/paris-soir/8-avril-1938/131/95865/3
Claude Blanchard	1932-06-10	Le Petit Parisien	Saint-Nazaire	France	47.273169	-2.214417	Les géants de la mer, qu'est-ce donc qu'un paquebot ?	https://www.retronews.fr/journal/le-petit-parisien/10-juin-1932/2/1993119/1
Claude Blanchard	1937-01-30	Paris-Soir	Tanger	Maroc	35.761285	-5.836532	Tanger, Gibraltar. Entre ces deux branches d'une pince, la Méditérannée dort mal	https://www.retronews.fr/journal/paris-soir/30-janvier-1937/131/96031/1
Claude Blanchard	1927-09-20	Le Petit Journal	Thiers	France	45.857904	3.545675	Trois semaines dans le ciel d'Europe. Les leçons d'un indicateur	https://www.retronews.fr/journal/le-petit-journal/20-septembre-1927/100/437617/1
Claude Blanchard	1932-12-16	Le Petit Parisien	Rome	Italie	41.894802	12.4853384	Italie 1932 comment les italiens sont-ils gouvernés ?	https://www.retronews.fr/journal/le-petit-parisien/16-decembre-1932/2/1993199/1
Claude Blanchard	1933-07-14	Le Petit Parisien	n.i.	Belgique	50.485669	4.764505	Regards sur la Belgique , histoire d'une vieille querelle	https://www.retronews.fr/journal/le-petit-parisien/14-juillet-1933/2/57432/1
Claude Blanchard	1934-03-12	Le Petit Parisien	n.i.	Suède	64.569433	16.782390	Les partis politiques suédois et l'Allemagne	https://www.retronews.fr/journal/le-petit-parisien/12-mars-1934/2/56956/1
Claude Blanchard	1934-08-13	Le Petit Parisien	Jaffa (auj. Tel Aviv)	Israël	32.0443395	34.7509908	Parmi les Juifs revenus en Terre Promise : comment on veut rassembler un peuple par le sionisme	https://www.retronews.fr/journal/le-petit-parisien/13-aout-1934/2/56648/1
