REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Georges Bourdon	1914-03-15	Le Figaro	Buenos Aires	Argentine	-34.6037232	-58.3815931	Amérique Latine	https://www.retronews.fr/journal/le-figaro-1854-/15-mars-1914/104/1106769/1
Georges Bourdon	1907-08-05	Le Figaro	Casablanca	Maroc	33.3517	-7.589843	Au Maroc : un combat acharné	https://www.retronews.fr/journal/le-figaro-1854-/5-septembre-1907/104/1105879/1
Georges Bourdon	1907-08-10	Le Figaro	Casablanca	Maroc	33.3517	-7.589843	Vers Casablanca : pendant le bombrdement	https://www.retronews.fr/journal/le-figaro-1854-/10-aout-1907/104/789329/1
Georges Bourdon	1907-09-04	Le Figaro	Casablanca	Maroc	33.3517	-7.589843	Un nouveau combat	https://www.retronews.fr/journal/le-figaro-1854-/4-septembre-1907/104/1105863/1
Georges Bourdon	1909-08-02	Le Figaro	Cherbourg	France	49.633730	-1.622137	L'entrevue de Cherbourg	https://www.retronews.fr/journal/le-figaro-1854-/2-aout-1909/104/800769/1
Georges Bourdon	1908-07-21	Le Figaro	Copenhague	Danemark	55.676097	12.568337	Impression de Copenhague	https://www.retronews.fr/journal/le-figaro-1854-/21-juillet-1908/104/800003/1
Georges Bourdon	1905-11-08	Le Figaro	Lisbonne	Portugal	38.4300	-9.0759	Une audience chez S.M la Reine Amélie	https://www.retronews.fr/journal/le-figaro-1854-/8-novembre-1905/104/799233/1
Georges Bourdon	1903-07-26	Le Figaro	Paris	France	48.86669293	2.333335326	Le tour du monde de la chanson	https://www.retronews.fr/journal/le-figaro-1854-/26-juillet-1903/104/798245/1
Georges Bourdon	1907-09-15	Le Figaro	Paris	France	48.86669293	2.333335326	Promenade dans Paris	https://www.retronews.fr/journal/le-figaro-1854-/15-septembre-1907/104/1106027/1
Georges Bourdon	1909-11-24	Le Figaro	Paris	France	48.86669293	2.333335326	L'affaire Steinheil : la dernière victime	https://www.retronews.fr/journal/le-figaro-1854-/24-novembre-1909/104/801013/1
Georges Bourdon	1910-08-31	Le Figaro	Paris	France	48.86669293	2.333335326	Dans le palais de Pélleas et de Mélisandre	https://www.retronews.fr/journal/le-figaro-1854-/31-aout-1910/104/789619/1
Georges Bourdon	1922-03-24	Le Figaro	Reims	France	49.258329	4.031696	L'Aurore sur les Ruines'	https://www.retronews.fr/journal/le-figaro-1854-/24-mars-1922/104/570177/1
Georges Bourdon	1905-02-19	Le Figaro	Saint-Peterbsourg	Russie	59.5619	30.3097	L'assassinat du Grand-Duc Serge	https://www.retronews.fr/journal/le-figaro-1854-/19-fevrier-1905/104/789225/1
Georges Bourdon	1905-03-30	Le Figaro	Saint-Peterbsourg	Russie	59.5619	30.3097	Les propos du Général Batianof	https://www.retronews.fr/journal/le-figaro-1854-/30-mars-1905/104/799129/1
Georges Bourdon	1907-03-17	Le Figaro	Toulon	France	43.124228	5.928	La catastrophe de l''Iena'	https://www.retronews.fr/journal/le-figaro-1854-/17-mars-1907/104/799951/1
