REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Blaise Cendrars	1935-06-03	Paris-Soir	A bord du 'Normandie'		46.74681	-41.093621	Il ne fallut pas plus que 3 minutes pour que la 'Normandie' un instant immobilisée puisse reprendre sa route	https://www.retronews.fr/journal/paris-soir/3-juin-1935/131/120269/5
Blaise Cendrars	1935-06-04	Paris-Soir	Au large de New York	Etats-Unis	40.987554	-68.735223	Les vainqueurs : ceux de la machine et Jean Hazard, leur chef	https://www.retronews.fr/journal/paris-soir/4-juin-1935/131/96219/1
Blaise Cendrars	1935-06-01	Paris-Soir	Au large de Southampton	Angleterre	50.358941	-1.492081	Un surveillant de bord m'avait dit : 'Nous avons embarqué un mystère'	https://www.retronews.fr/journal/paris-soir/1-juin-1935/131/108625/6
Blaise Cendrars	1939-11-27	Le Petit Marseillais	Frontière franco-belge	France	49.869083	4.114767264062493	Le Petit Marseillais' chez les Anglais avec le corps expéditionnaire britannique en France	https://www.retronews.fr/journal/le-petit-marseillais/27-novembre-1939/437/1806697/1
Blaise Cendrars	1939-12-02	La Petite Gironde	Frontière franco-belge	France	49.869083	4.114767264062493	Un Français chez les Anglais, la jonction	https://www.retronews.fr/journal/la-petite-gironde/2-decembre-1939/241/1383085/1
Blaise Cendrars	1936-05-31	Paris-Soir	Hollywood	Etats-Unis	40.679008	-73.943401	La plus jeune capitale du monde est capitale de la jeunesse	https://www.retronews.fr/journal/paris-soir/31-mai-1936/131/108475/5
Blaise Cendrars	1936-06-09	Paris-Soir	Hollywood	Etats-Unis	40.679008	-73.943401	Fiction et réalité se mêlent étrangement dans les immenses studios de la ville interdite	https://www.retronews.fr/journal/paris-soir/9-juin-1936/131/99943/1
Blaise Cendrars	1936-06-12	Paris-Soir	Hollywood	Etats-Unis	40.679008	-73.943401	Dans l'ombre des vedettes se cachent ces trois maîtres occultes de l'écran : le maquilleur, l'agent, le chasseur de stars	https://www.retronews.fr/journal/paris-soir/13-juin-1936/131/102499/1
Blaise Cendrars	1935-05-30	Paris-Soir	Le Havre	France	49.49437	0.107929	Veillée d'armes sur le plus grand navire du monde	https://www.retronews.fr/journal/paris-soir/30-mai-1935/131/98139/7
Blaise Cendrars	1934-04-26	Excelsior	Marseille	France	43.296482	5.369780	Les gangsters de la Mafia	https://www.retronews.fr/journal/excelsior/26-avril-1934/353/2017325/1
Blaise Cendrars	1935-06-05	Paris-Soir	New York	Etats-Unis	40.712784	-74.005941	L'Amérique entière fête le triomphe de 'Normandie'	https://www.retronews.fr/journal/paris-soir/5-juin-1935/131/103629/1
Blaise Cendrars	1935-06-07	Paris-Soir	New York	Etats-Unis	40.712784	-74.005941	La 'Normandie' bat un nouveau record, celui de la curiosité	https://www.retronews.fr/journal/paris-soir/7-juin-1935/131/105627/7
Blaise Cendrars	1936-06-13	Paris-Soir	New York, Los Angeles, La Nouvelle Orléans…	Etats-Unis	39.78373	-100.445882	Les chasseurs d'étoilres sont, dans toutes les capitales des Etats-Unis, des oiseaux de nuit	https://www.retronews.fr/journal/paris-soir/13-juin-1936/131/102499/5
Blaise Cendrars	1938-07-23	Paris-Soir	Paris	France	48.856614	2.352222	Ce qui fut merveilleux : la foule de Paris	https://www.retronews.fr/journal/paris-soir/23-juillet-1938/131/95911/4
Blaise Cendrars	1939-09-19	Paris-Soir	Pontoise	France	49.050966	2.100645	Le noble visage de la France	https://www.retronews.fr/journal/paris-soir/19-septembre-1939/131/108431/2
Blaise Cendrars	1939-09-21	Paris-Soir	Quelque part en Ile-de-France	France	48.8566969	2.3514616	Le noble visage de la France : 'Je travaille dans une poudrerie à quarantte mètres sous terre'	https://www.retronews.fr/journal/paris-soir/21-septembre-1939/131/100869/2
Blaise Cendrars	1927-11-23	L'intransigeant	Rio de Janeiro	Brésil	-22.906847	-43.172897	Devant les champs de café	https://www.retronews.fr/journal/l-intransigeant/23-novembre-1927/44/923307/1
Blaise Cendrars	1938-05-30	Paris-Soir	Rio de Janeiro	Brésil	-22.906847	-43.172897	Pénitenciers pour noirs	https://www.retronews.fr/journal/paris-soir/30-mai-1938/131/103179/4
Blaise Cendrars	1934-05-04	Excelsior	Saint-Sebastien	Espagne	43.3224219	-1.9838889	Les gangsters de la Mafia	https://www.retronews.fr/journal/excelsior/4-mai-1934/353/2017391/1
Blaise Cendrars	1939-09-07	Paris-Soir	Un village des Ardennes	France	49.6980117	4.6716005	Le noble visage de la France : Mme François et ses deux filles paysannes frontalières sont au fournil	https://www.retronews.fr/journal/paris-soir/7-septembre-1939/131/100873/1
