REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Claude Farrère	1933-08-17	Le Journal	A bord du transatlantique Colombie	Îles Féroé	61.892635	-6.911806	Un voyage aux Féroé	https://www.retronews.fr/journal/le-journal/17-aout-1933/129/247279/1
Claude Farrère	1923-06-16	Le Gaulois	Paris	France	48.86669293	2.333335326	La chatte baptisée	https://www.retronews.fr/journal/le-gaulois/16-juin-1923/37/1202763/1
Claude Farrère	1923-09-18	Le Gaulois	Paris	France	48.86669293	2.333335326	Une mystification littéraire	https://www.retronews.fr/journal/le-gaulois/16-juin-1923/37/1202763/1
Claude Farrère	1933-01-06	L'intransigeant	Paris	France	48.86669293	2.333335326	Torches sur la mer	https://www.retronews.fr/journal/l-intransigeant/6-janvier-1933/44/910007/1
Claude Farrère	1933-03-01	L'intransigeant	Paris	France	48.86669293	2.333335326	Torches sur la mer : Un document sur la catastrophe du 'Georges-Philippar'	https://www.retronews.fr/journal/l-intransigeant/1-mars-1933/44/909939/1
Claude Farrère	1933-12-15	Le Journal	Paris	France	48.86669293	2.333335326	Le métier d'historien	https://www.retronews.fr/journal/le-journal/15-decembre-1933/129/245941/1
Claude Farrère	1935-01-01	Le Journal	Paris	France	48.86669293	2.333335326	1935 !	https://www.retronews.fr/journal/le-journal/1-janvier-1935/129/109877/1
Claude Farrère	1935-03-29	Le Journal	Paris	France	48.86669293	2.333335326	La Hongrie captive... et libre	https://www.retronews.fr/journal/le-journal/29-mars-1935/129/578523/1
Claude Farrère	1936-09-22	Le Journal	Paris	France	48.86669293	2.333335326	Depuis deux mois, la guerre civile ensanglante l'Espagne	https://www.retronews.fr/journal/le-journal/22-septembre-1936/129/112377/1
Claude Farrère	1937-07-22	Le Petit Journal	Paris	France	48.86669293	2.333335326	Japon, 1937	https://www.retronews.fr/journal/le-petit-journal/22-juillet-1937/100/417721/1
Claude Farrère	1938-07-26	Le Petit Journal	Paris	France	48.86669293	2.333335326	Kipling et la France	https://www.retronews.fr/journal/le-petit-journal/16-juillet-1938/100/408239/1
Claude Farrère	1938-08-24	Le Petit Journal	Paris	France	48.86669293	2.333335326	Le vieux rayonnement français qui s'entête	https://www.retronews.fr/journal/le-petit-journal/24-aout-1938/100/418069/1
Claude Farrère	1939-01-15	Le Petit Journal	Paris	France	48.86669293	2.333335326	Souvenirs maritimes : L'école navale, il y a 44 ans	https://www.retronews.fr/journal/le-petit-journal/15-janvier-1939/100/418203/1
Claude Farrère	1939-01-17	Le Petit Journal	Paris	France	48.86669293	2.333335326	Souvenirs maritimes : La marine de toujours	https://www.retronews.fr/journal/le-petit-journal/17-janvier-1939/100/408823/1
