REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Gaston Leroux	1906-07-10	Le Matin	Alger	Algérie	36.6997294	3.0576198999999633	Chez Behanzin : une visite aux exilés	https://www.retronews.fr/journal/le-matin/10-juillet-1906/66/184753/1
Gaston Leroux	1906-05-04	Le Matin	Angoulême	France	45.6496755	0.15623690000006718	Deroulède en Charente	https://www.retronews.fr/journal/le-matin/04-mai-1906/66/174485/1
Gaston Leroux	1902-10-11	Le Matin	Argenteuil	France	48.9472096	2.24668470000006	Vendanges	https://www.retronews.fr/journal/le-matin/11-octobre-1902/66/187883/1
Gaston Leroux	1898-08-05	Le Matin	Brest	France	48.39044293	-4.49500757	La défense de Brest	https://www.retronews.fr/journal/le-matin/05-aout-1898/66/188027/1
Gaston Leroux	1903-11-26	Le Matin	Calais (dans le train vers Paris)	France	50.95129000000001	1.8586860000000343	Une visite parlementaire	https://www.retronews.fr/journal/le-matin/26-novembre-1903/66/183001/1
Gaston Leroux	1901-02-07	Le Matin	Carro	France	43.334395	5.050991		https://www.retronews.fr/journal/le-matin/07-fevrier-1901/66/181287/1
Gaston Leroux	1899-07-17	Le Matin	Champigny	France	48.3197199	3.1277019999999993		https://www.retronews.fr/journal/le-matin/17-juillet-1899/66/172965/1
Gaston Leroux	1900-06-13	Le Matin	Contrexéville	France	48.179968	5.89554499999997		https://www.retronews.fr/journal/le-matin/13-juin-1900/66/177629/1
Gaston Leroux	1900-06-14	Le Matin	Contrexéville	France	48.179968	5.89554499999997		https://www.retronews.fr/journal/le-matin/14-juin-1900/66/183935/1
Gaston Leroux	1901-09-17	Le Matin	Dunkerque	France	51.0343684	2.3767762999999604		https://www.retronews.fr/journal/le-matin/17-septembre-1901/66/163133/1
Gaston Leroux	1901-09-19	Le Matin	Dunkerque	France	51.0343684	2.3767762999999604		https://www.retronews.fr/journal/le-matin/19-septembre-1901/66/179667/1
Gaston Leroux	1902-06-14	Le Matin	Dunkerque	France	51.0343684	2.3767762999999604		https://www.retronews.fr/journal/le-matin/14-juin-1902/66/177595/1
Gaston Leroux	1901-03-22	Le Matin	Elseneur	Danemark	56.033284	12.615909999999985		https://www.retronews.fr/journal/le-matin/22-mars-1901/66/176597/1
Gaston Leroux	1906-05-09	Le Matin	Guingamp	France	48.561366	-3.1483519999999316		https://www.retronews.fr/journal/le-matin/09-mai-1906/66/177467/1
Gaston Leroux	1904-02-03	Le Matin	Ile Madère	Portugal	32.76070740000001	-16.959472300000016		https://www.retronews.fr/journal/le-matin/03-fevrier-1904/66/182973/1
Gaston Leroux	1904-02-17	Le Matin	Koegnisberg	Allemagne	50.0808691	10.566448300000047		https://www.retronews.fr/journal/le-matin/17-fevrier-1904/66/180291/1
Gaston Leroux	1904-02-27	Le Matin	Koegnisberg	Allemagne	50.0808691	10.566448300000047		https://www.retronews.fr/journal/le-matin/27-fevrier-1904/66/185903/1
Gaston Leroux	1898-09-17	Le Matin	Krasnoïé-Sélo	Russie	59.73438470000001	30.08444499999996		https://www.retronews.fr/journal/le-matin/17-septembre-1898/66/172323/1
Gaston Leroux	1901-08-30	Le Matin	La Rochelle	France	46.16665102	-1.149992108		https://www.retronews.fr/journal/le-matin/30-aout-1901/66/176581/1
Gaston Leroux	1901-08-31	Le Matin	La Rochelle	France	46.16665102	-1.149992108		https://www.retronews.fr/journal/le-matin/31-aout-1901/66/173605/1
Gaston Leroux	1905-01-15	Le Matin	Larache (Maroc)	Maroc	35.20042116	-6.160022218		https://www.retronews.fr/journal/le-matin/15-janvier-1905/66/183843/1
Gaston Leroux	1905-02-23	Le Matin	Larache (Maroc)	Maroc	35.20042116	-6.160022218		https://www.retronews.fr/journal/le-matin/23-fevrier-1905/66/181007/1
Gaston Leroux	1905-03-01	Le Matin	Larache (Maroc)	Maroc	35.20042116	-6.160022218		https://www.retronews.fr/journal/le-matin/01-mars-1905/66/181983/1
Gaston Leroux	1906-06-27	Le Matin	Le Mans	France	48.00611000000001	0.1995560000000296		https://www.retronews.fr/journal/le-matin/27-juin-1906/66/187807/1
Gaston Leroux	1895-03-15	Le Matin	Londres	Royaume-Uni	51.5073513	-0.12775829999998228		https://www.retronews.fr/journal/memorial-de-la-loire-et-de-la-haute-loire/15-mars-1895/231/1753655/1
Gaston Leroux	1899-12-23	Le Matin	Londres	Royaume-Uni	51.5073513	-0.12775829999998228		https://www.retronews.fr/journal/le-matin/23-decembre-1899/66/177641/1
Gaston Leroux	1902-07-05	Le Matin	Londres	Royaume-Uni	51.5073513	-0.12775829999998228		https://www.retronews.fr/journal/le-matin/05-juillet-1902/66/174599/1
