REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Ella Maillart	1937-03-25	Le Petit Journal	Baltit	Inde (auj. Pakistan)	36.3257281	74.6689153	Capitale himalayenne	https://www.retronews.fr/journal/le-petit-journal/25-mars-1937/100/417781/2
Ella Maillart	1934-03-10	Je suis partout	Boukhara	Uzbekistan (URSS)	39.7675529	64.4231326	Des monts célestes aux sables rouges	https://www.retronews.fr/journal/je-suis-partout/10-mars-1934/719/2125079/12
Ella Maillart	1935-12-25	Le Petit Parisien	Chaoyan	Mandchoukouo	41.57365	120.44938	En Asie, où guettent les maîtres de demain : Jehol, la dernière conquête	https://www.retronews.fr/journal/le-petit-parisien/25-decembre-1935/2/61060/5
Ella Maillart	1936-04-01	Le Petit Parisien	Désert du Takla-Makane	Chine			Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/1-avril-1936/2/60864/4
Ella Maillart	1936-03-28	Le Petit Parisien	Dzoun	Chine			Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/28-mars-1936/2/60872/4
Ella Maillart	1934-02-24	Je suis partout	Frounzé (auj. Bichkek)	Kirghizistan (URSS)	42.8767446	74.6069949	Des monts célestes aux sables rouges	https://www.retronews.fr/journal/je-suis-partout/24-fevrier-1934/719/2124963/12
Ella Maillart	1935-12-23	Le Petit Parisien	Hailar	Mandchoukouo	49.1485	119.6988	En Asie, où guettent les maîtres de demain : Bannières mongoles, troupes de choc	https://www.retronews.fr/journal/le-petit-parisien/23-decembre-1935/2/61064/5
Ella Maillart	1935-12-12	Le Petit Parisien	Hsinking	Mandchoukouo	43.81707	125.32354	En Asie, où guettent les maîtres de demain	https://www.retronews.fr/journal/le-petit-parisien/12-decembre-1935/2/61086/4
Ella Maillart	1935-12-13	Le Petit Parisien	Hsinking	Mandchoukouo	43.81707	125.32354	En Asie, où guettent les maîtres de demain : Ici trois millions d'habitants vivront	https://www.retronews.fr/journal/le-petit-parisien/13-decembre-1935/2/61082/4
Ella Maillart	1934-03-03	Je suis partout	Karakol	Kirghizistan (URSS)	42.4916808	78.3901729	Des monts célestes aux sables rouges	https://www.retronews.fr/journal/je-suis-partout/3-mars-1934/719/2125137/12
Ella Maillart	1936-04-04	Le Petit Parisien	Kashgar	Chine	39.4665981	75.9900135	Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/4-avril-1936/2/60858/4
Ella Maillart	1936-04-03	Le Petit Parisien	Kerya	Chine	37.0882497	81.8122035	Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/3-avril-1936/2/60860/4
Ella Maillart	1935-12-17	Le Petit Parisien	Kharbine	Mandchoukouo	45.80377	126.53496	En Asie, où guettent les maîtres de demain : Kharbine et ses complots	https://www.retronews.fr/journal/le-petit-parisien/17-decembre-1935/2/61076/4
Ella Maillart	1935-12-21	Le Petit Parisien	Kharbine	Mandchoukouo	45.80377	126.53496	En Asie, où guettent les maîtres de demain : Les nouveaux conquérants	https://www.retronews.fr/journal/le-petit-parisien/21-decembre-1935/2/61068/4
Ella Maillart	1935-12-22	Le Petit Parisien	Kharbine	Mandchoukouo	45.80377	126.53496	En Asie, où guettent les maîtres de demain	https://www.retronews.fr/journal/le-petit-parisien/22-decembre-1935/2/61066/5
Ella Maillart	1934-03-17	Je suis partout	Khiva	Uzbekistan (URSS)	41.3776893	60.3620006	Des monts célestes aux sables rouges	https://www.retronews.fr/journal/je-suis-partout/17-mars-1934/719/2124961/12
Ella Maillart	1935-12-26	Le Petit Parisien	Koupelkou	Mandchoukouo	40.692169	117.16382	En Asie, où guettent les maîtres de demain	https://www.retronews.fr/journal/le-petit-parisien/26-decembre-1935/2/61058/5
Ella Maillart	1936-03-27	Le Petit Parisien	Kumbum	Chine	36.4908	101.5682	Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/27-mars-1936/2/60874/4
Ella Maillart	1936-03-30	Le Petit Parisien	Lac Issyk-Pakté	Chine			Huit mois de caravane de Pékin aux Indes	https://www.retronews.fr/journal/le-petit-parisien/30-mars-1936/2/60868/4
