REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Louis Roubaud	1935-12-26	Le Petit Parisien	Addis-Abeba	Éthiopie	8.980603	38.757761	Un peu de vérité sur l'Éthiopie	https://www.retronews.fr/journal/le-petit-parisien/26-decembre-1935/2/61058/1
Louis Roubaud	1933-10-13	Le Petit Parisien	Alger	Algérie	36.753768	3.058756	Un grave conflit religieux entre musulmans algériens	https://www.retronews.fr/journal/le-petit-parisien/13-octobre-1933/2/57254/1
Louis Roubaud	1936-09-01	Le Petit Parisien	Alicante	Espagne	38.345996	-0.490686	Alicante cité anxieuse	https://www.retronews.fr/journal/le-petit-parisien/1-septembre-1936/2/60562/1
Louis Roubaud	1936-09-02	Le Petit Parisien	Alicante	Espagne	38.345997	-0.490687	Scènes d'horreur à Alicante	https://www.retronews.fr/journal/le-petit-parisien/2-septembre-1936/2/60560/1
Louis Roubaud	1935-03-10	Le Petit Parisien	Athènes	Grèce	37.98381	23.727739	Les émouvantes péripéties de la guerre de clans qui se poursuit en Grèce	https://www.retronews.fr/journal/le-petit-parisien/10-mars-1935/2/61632/1
Louis Roubaud	1935-04-05	Le Petit Parisien	Athènes	Grèce	37.98382	23.727740	Comment en Grèce l'armée met en demeure M. Tsaldaris de faire condamner les militaires rebelles	https://www.retronews.fr/journal/le-petit-parisien/5-avril-1935/2/61582/1
Louis Roubaud	1933-03-04	Le Petit Parisien	Belgrade	Yougoslavie	44.786568	20.44892159999995	Pierre antique et bronze neuf	https://www.retronews.fr/journal/le-petit-parisien/4-mars-1933/2/1993349/1
Louis Roubaud	1934-11-29	Le Petit Parisien	Belgrade	Yougoslavie	44.786568	20.44892159999995	Tewifk Rouchdi Bey ministre des Affaires Etrangères de Turquie	https://www.retronews.fr/journal/le-petit-parisien/29-novembre-1934/2/56436/1
Louis Roubaud	1932-03-12	Le Petit Parisien	Berlin	Allemagne	52.52000659999999	13.404953999999975	La fièvre électorale monte d'heure en heure en Allemagne	https://www.retronews.fr/journal/le-petit-parisien/12-mars-1932/2/1993393/1
Louis Roubaud	1930-11-22	Le Petit Parisien	Dantzig	Pologne	54.35202520000001	18.64663840000003	Dantzig « ville enchaînée »	https://www.retronews.fr/journal/le-petit-parisien/26-novembre-1930/2/58404/1
Louis Roubaud	1935-11-06	Le Petit Parisien	Djibouti	Djibouti	11.825138	42.590275	Djibouti nouveau carrefour du monde	https://www.retronews.fr/journal/le-petit-parisien/6-novembre-1935/2/61158/1
Louis Roubaud	1933-11-01	Le Petit Parisien	Djidjelii	Algérie	36.816739	5.749093	« Le malaise algérien est superficiel »	https://www.retronews.fr/journal/le-petit-parisien/1-novembre-1933/2/57216/1
Louis Roubaud	1930-05-31	Le Petit Parisien	Hanoï	Indochine (auj. Vietnam)	21.0277644	105.8341598	Comment se recrutent chefs et troupes pour le mouvement révolutionnaire	https://www.retronews.fr/journal/le-petit-parisien/31-mai-1930/2/58680/1
Louis Roubaud	1930-06-06	Le Petit Parisien	Hanoï	Indochine (auj. Vietnam)	21.0277645	106.8341598	Une enquête au village de Coam chatié par un bombardement aérien	https://www.retronews.fr/journal/le-petit-parisien/6-juin-1930/2/1992677/1
Louis Roubaud	1930-09-23	Le Petit Parisien	Hanoï	Indochine (auj. Vietnam)	21.0277645	106.8341598	Que se passe-t-il en Indochine ?	https://www.retronews.fr/journal/le-petit-parisien/23-septembre-1930/2/58486/2
Louis Roubaud	1930-09-30	Le Petit Parisien	Hanoï	Indochine (auj. Vietnam)	21.0277646	107.8341598	Que se passe-t-il en Indochine ?	https://www.retronews.fr/journal/le-petit-parisien/30-septembre-1930/2/1992669/1
Louis Roubaud	1935-08-05	Le Petit Parisien	La Haye	Pays-Bas	52.070498	4.300700	Tranquillité !	https://www.retronews.fr/journal/le-petit-parisien/5-aout-1935/2/61342/1
Louis Roubaud	1931-06-03	Le Petit Parisien	Marseille	France	43.296482	5.369779999999992	Ceux de Marseille	https://www.retronews.fr/journal/le-petit-parisien/3-juin-1931/2/58216/1
Louis Roubaud	1931-06-08	Le Petit Parisien	Marseille	France	43.296483	5.495683577	Ceux de Marseille	https://www.retronews.fr/journal/le-petit-parisien/8-juin-1931/2/58206/1
Louis Roubaud	1930-06-16	Le Petit Parisien	Nam-Dinh	Indochine (auj. Vietnam)	20.2791804	106.20514839999998	Une enquête dans la région de Nam-Dinh sur les conditions d'existence des masses	https://www.retronews.fr/journal/le-petit-parisien/16-juin-1930/2/58668/1
Louis Roubaud	1929-01-25	Le Petit Parisien	Paris	France	48.86669293	2.333335326	Le mystère de la bourse	https://www.retronews.fr/journal/le-petit-parisien/25-janvier-1929/2/50336/1
Louis Roubaud	1929-01-31	Le Petit Parisien	Paris	France	48.86669294	2.333335327	Le mystère de la bourse	https://www.retronews.fr/journal/le-petit-parisien/31-janvier-1929/2/50324/1
Louis Roubaud	1929-02-13	Le Petit Parisien	Paris	France	48.86669295	2.333335328	Le mystère de la bourse	https://www.retronews.fr/journal/le-petit-parisien/13-fevrier-1929/2/50300/1
Louis Roubaud	1929-02-21	Le Petit Parisien	Paris	France	48.86669296	2.333335329	Le mystère de la bourse	https://www.retronews.fr/journal/le-petit-parisien/21-fevrier-1929/2/50286/1
