REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Antoine de Saint-Exupéry	1938-11-09	Paris-Soir	Dakhla	île de Cisneros	23.6940663	-15.9431274	Aventures et escales : Neri et moi, nous somme perdus sur la mer	https://www.retronews.fr/journal/paris-soir/9-novembre-1938/131/120065/4
Antoine de Saint-Exupéry	1936-01-30	L'intransigeant	désert de Libye	Libye	22.731756	24.654352	Le vol brisé, Prison de sable : Un avertissement du destin	https://www.retronews.fr/journal/l-intransigeant/30-janvier-1936/44/925925/1
Antoine de Saint-Exupéry	1936-02-03	L'intransigeant	désert de Libye	Libye	22.731756	24.654352	Le vol brisé, Prison de sable : le supplice du troisième jour	https://www.retronews.fr/journal/l-intransigeant/3-fevrier-1936/44/925923/2
Antoine de Saint-Exupéry	1936-02-04	L'intransigeant	désert de Libye	Libye	22.731756	24.654352	Le vol brisé, Prison de sable : résurrection	https://www.retronews.fr/journal/l-intransigeant/4-fevrier-1936/44/925781/1
Antoine de Saint-Exupéry	1937-06-27	Paris-Soir	Madrid	Espagne	40.417402	-3.703249	Défense de Madrid	https://www.retronews.fr/journal/paris-soir/27-juin-1937/131/102447/1
Antoine de Saint-Exupéry	1937-06-27	Paris-Soir	Madrid	Espagne	40.417402	-3.703249	Hep ! Sergent ! Pourquoi es-tu parti ?	https://www.retronews.fr/journal/paris-soir/3-juillet-1937/131/104549/4
Antoine de Saint-Exupéry	1935-05-16	Paris-Soir	Moscou	U.R.S.S	55.750764	37.618899	Moscou ! Mais où est la révolution ?	https://www.retronews.fr/journal/paris-soir/16-mai-1935/131/120277/3
Antoine de Saint-Exupéry	1935-05-19	Paris-Soir	Moscou	U.R.S.S	55.750764	37.618899	Crimes et châtiments devant la justice soviétique	https://www.retronews.fr/journal/paris-soir/19-mai-1935/131/101073/5
Antoine de Saint-Exupéry	1935-05-20	Paris-Soir	Moscou	U.R.S.S	55.750764	37.618899	La fin tragique du 'Maxime Gorki'	https://www.retronews.fr/journal/paris-soir/20-mai-1935/131/1172245/5
Antoine de Saint-Exupéry	1938-10-02	Paris-Soir	Munich	Allemagne	48.138306	11.585066	La paix ou la guerre : homme de guerre, qui es-tu ?	https://www.retronews.fr/journal/paris-soir/2-octobre-1938/131/100677/4
Antoine de Saint-Exupéry	1939-07-22	Paris-Soir	New York	États-Unis	40.759851	-73.971816	Avec Guillaumet, l'homme des miracle : de New-York à Biscarrosse	https://www.retronews.fr/journal/paris-soir/22-juillet-1939/131/96979/2
Antoine de Saint-Exupéry	1938-11-10	Paris-Soir	Rio de Oro	désert du Sahara	26.131035	14.417063	Aventures et escales : trois équiapges dans la nuit chantaient	https://www.retronews.fr/journal/paris-soir/10-novembre-1938/131/96683/4
Antoine de Saint-Exupéry	1938-11-08	Paris-Soir	Toulouse	France	43.606738	1.444255	Aventures et escales : Dans la nuit glacée, je fais ma veillée d'armes	https://www.retronews.fr/journal/paris-soir/8-novembre-1938/131/107171/4
Antoine de Saint-Exupéry	1939-08-16	Marianne	Trelew	Argentine	-43.248038	-65.306732	Le Pilote et les puissances naturelles	https://www.retronews.fr/journal/marianne/16-aout-1939/797/2548415/20
