REPORTER	NOM	PRENOM	ALIAS	DATE_PUBL	DATE_REP	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	QUALIFICATION	GENRE	URL	SAISIE_NOM	SAISIE_DATE	VERIFICATION	REMARQUES
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1922-12-08	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES CONTES DE « L’INTRANSIGEANT » Mon amie Ghislaine	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/l-intransigeant/8-decembre-1922/44/905281/4	Mathilde Carnet	2018-01-11	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1923-04-08	n.i.	Les modes de la femme de France	n.i.	n.i.	n.i.	n.i.	Un secret	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/les-modes-de-la-femme-de-france/8-avril-1923/153/1069369/21	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1923-04-15	n.i.	Les modes de la femme de France	n.i.	n.i.	n.i.	n.i.	En Andorre	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/les-modes-de-la-femme-de-france/15-avril-1923/153/1065981/21	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1923-11-02	n.i.	Le Nord maritime	n.i.	n.i.	n.i.	n.i.	Conte de Toussaint LE JOUR DES MORTS	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/le-nord-maritime/2-novembre-1923/1151/4106523/4	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1923-11-07	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES CONTES DE « L’INTRANSIGEANT » Le « peintre de Paris »	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/l-intransigeant/7-novembre-1923/44/905835/4	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-02-23	n.i.	Paris-Soir	Paris	France	48.8666	2.3333	LES GRANDES ENQUÊTES DE « PARIS SOIR » De quoi se compose Paris ? LES JAPONAIS	Par TITAYNA	Reportage	https://www.retronews.fr/journal/paris-soir/23-fevrier-1924/131/104873/1	Mathilde Carnet	2018-01-11	Gilles Bastin	Photo en kimono à la Une
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-08-23	n.i.	L’intransigeant	Roussillon	France	42.6985304	2.8953121	PANORAMA DE FRANCE La CATALOGNE sous le soleil	Par TITAYNA	Reportage	https://www.retronews.fr/journal/l-intransigeant/23-aout-1924/44/906331/2	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-09-03	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES CONTES DE « L’INTRANSIGEANT » Vendanges catalanes	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/l-intransigeant/3-septembre-1924/44/922361/4	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-09-07	n.i.	Le Quotidien	n.i.	n.i.	n.i.	n.i.	Les contes du « QUOTIDIEN » Les chiens hurleurs	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/le-quotidien/7-septembre-1924/2453/3574439/5	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-10-07	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	L’AVION BOURGEOIS	Par TITAYNA	Feuilleton	https://www.retronews.fr/journal/l-intransigeant/7-octobre-1924/44/906301/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-10-11	n.i.	Le Figaro	n.i.	n.i.	n.i.	n.i.	Crabinette NOUVELLE	Aucune	Feuilleton	https://www.retronews.fr/journal/le-figaro-supplement-litteraire-du-dimanche/11-octobre-1924/105/985759/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1924-11-02	n.i.	L’intransigeant	Région de Bessarabie	Moldavie	47.286747	28.5110236	UNE NUITà la frontière russe	Par TITAYNA	Reportage	https://www.retronews.fr/journal/l-intransigeant/2-novembre-1924/44/906201/4	Mathilde Carnet	2018-01-11	Gilles Bastin	
