Gaston Stiegler	1896-07-18	L'Echo de Paris	Arco	Italie	45.926871	10.909761	Visite au Général Baratieri https://www.retronews.fr/journal/l-echo-de-paris/18-juillet-1896/120/613653/1
Gaston Stiegler	1901-06-25	Le Matin	Blagovechtchensk	Russie	50.3548	127.596	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/25-jun-1901/66/163141/1
Gaston Stiegler	1901-08-13	Le Matin	Blagovechtchensk	Russie	50.2796100	127.5405000	Le tour du monde en 63 jours - La pêche dans l'Amour	https://www.retronews.fr/journal/le-matin/13-aout-1901/66/179671/1
Gaston Stiegler	1893-07-15	L'Echo de Paris	Edimbourg	Royaume-Uni	55.953252	-3.188267	Le spiritisme dans le monde	https://www.retronews.fr/journal/l-echo-de-paris/15-juillet-1893/120/612769/1
Gaston Stiegler	1902-09-12	Le Matin	Francfort-Sur-L'Oder	Allemagne	52.35	14.55	Aux manoeuvres allemandes	https://www.retronews.fr/journal/le-matin/12-septembre-1902/66/163113/1
Gaston Stiegler	1901-06-11	Le Matin	Irkoutsk	Russie	52.289597	104.280586	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/11-juin-1901/66/163143/1
Gaston Stiegler	1901-06-12	Le Matin	Irkoutsk	Russie	52.289597	104.280586	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/12-juin-1901/66/175585/1
Gaston Stiegler	1901-08-09	Le Matin	Irkoutsk	Russie	52.2977800	104.2963900	Le tour du monde en 63 jours - Dans le transsibérien	https://www.retronews.fr/journal/le-matin/9-aout-1901/66/174623/1
Gaston Stiegler	1901-06-10	Le Matin	Krasnoiarsk	Russie	56.0090968	92.8725147	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/10-juin-1901/66/176593/1
Gaston Stiegler	1898-05-07	L'Echo de Paris	Madrid	Espagne	40.4167754	-3.7037902	Ce que pense la reine régente	https://www.retronews.fr/journal/l-echo-de-paris/7-mai-1898/120/615607/1
Gaston Stiegler	1901-07-22	Le Matin	Minneapolis	Etats-Unis	44.9773	-93.26549999999997	Le tour du monde en X... jours
Gaston Stiegler	1901-06-02	Le Matin	Moscou	Russie	55.757425	37.619183	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/2-juin-1901/66/178589/1
Gaston Stiegler	1901-07-23	Le Matin	Niagarafalls	Canada	43.101	-79.11529999999999	Le tour du monde en X... jours
Gaston Stiegler	1901-06-08	Le Matin	Omsk	Russie	54.991375	73.371529	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/8-juin-1901/66/179675/1
Gaston Stiegler	1893-07-04	L'Echo de Paris	Paris	France	48.86669293	2.333335326	La manifestation des étudiants et la police	https://www.retronews.fr/journal/l-echo-de-paris/4-juillet-1893/120/611223/2
Gaston Stiegler	1893-07-22	L'Echo de Paris	Paris	France	48.86669293	2.333335326	Le nouvel opéra-comique	https://www.retronews.fr/journal/l-echo-de-paris/22-juillet-1893/120/609239/2
Gaston Stiegler	1895-08-18	L'Echo de Paris	Paris	France	48.86669293	2.333335326	Démission du conseil de l'ordre de la légion d'honneur	https://www.retronews.fr/journal/l-echo-de-paris/18-juillet-1895/120/615707/1
Gaston Stiegler	1896-12-23	L'Echo de Paris	Paris	France	48.86669293	2.333335326	Le Jockey-club et les officiers de cavalerie	https://www.retronews.fr/journal/l-echo-de-paris/23-decembre-1896/120/614675/2
Gaston Stiegler	1899-05-01	L'Echo de Paris	Paris	France	48.86669293	2.333335326	Société des artistes français	https://www.retronews.fr/journal/l-echo-de-paris/1-mai-1899/120/612529/2
Gaston Stiegler	1900-10-06	L'Echo de Paris	Paris	France	48.86669293	2.333335326	L'art allemand à l'exposition	https://www.retronews.fr/journal/l-echo-de-paris/6-octobre-1900/120/615479/2
Gaston Stiegler	1901-05-19	Le Matin	Paris	France	48.86669293	2.333335326	Mon courrier	https://www.retronews.fr/journal/le-matin/19-mai-1901/66/165213/1
Gaston Stiegler	1901-08-03	Le Matin	Paris	France	48.86669293	2.333335326	Le tour du monde	https://www.retronews.fr/journal/le-matin/3-aout-1901/66/174629/1
Gaston Stiegler	1901-08-05	Le Matin	Paris	France	48.86669293	2.333335326	Le tour du monde en 63 jours	https://www.retronews.fr/journal/le-matin/5-aout-1901/66/163137/1
Gaston Stiegler	1901-08-06	Le Matin	Paris	France	48.86669293	2.333335326	Le tour du monde en 63 jours	https://www.retronews.fr/journal/le-matin/6-aout-1901/66/185943/1
Gaston Stiegler	1924-07-12	Paris-Soir	Paris	France	48.86669293	2.333335326	Sous mes yeux	https://www.retronews.fr/journal/paris-soir/12-juillet-1924/131/112573/1
Gaston Stiegler	1896-07-19	L'Echo de Paris	Rochefort-Sur-Mer	France	45.9333300	-0.9833300	La revue de Châteauneuf	https://www.retronews.fr/journal/l-echo-de-paris/19-septembre-1896/120/607085/1
Gaston Stiegler	1901-08-07	Le Matin	Saint-Petersbourg	Russie	59.9386300	30.3141300	Le tour du monde en 63 jours - Dans le transsibérien	https://www.retronews.fr/journal/le-matin/7-aout-1901/66/174627/1
Gaston Stiegler	1901-06-02	Le Matin	Saint-Pétersbourg	Russie	59.9386300	30.3141300	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/2-juin-1901/66/178589/1
Gaston Stiegler	1901-06-04	Le Matin	Samara	Russie	53.202778	50.140833	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/4-juin-1901/66/185947/1
Gaston Stiegler	1901-06-19	Le Matin	Strietensk	Russie	48.48271	135.08379	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/19-juin-1901/66/167225/1
Gaston Stiegler	1901-06-07	Le Matin	Tcheliabinsk	Russie	55.1679	61.40460000000007	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/7-juin-1901/66/168239/1
Gaston Stiegler	1901-08-08	Le Matin	Tcheliabinsk	Russie	55.1679	61.40460000000007	Le tour du monde en 63 jours - Dans le transsibérien	https://www.retronews.fr/journal/le-matin/8-aout-1901/66/174625/1
Gaston Stiegler	1901-08-17	Le Matin	Tokyo	Japon	35.709026	139.731992	Le tour du monde en 63 jours - Jeunes mères	https://www.retronews.fr/journal/le-matin/17-aout-1901/66/184887/1
Gaston Stiegler	1901-07-18	Le Matin	Victoria	Etats-Unis	48.4329400	-123.3693000	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/18-juillet-1901/66/178581/1
Gaston Stiegler	1901-07-02	Le Matin	Vladivostok	Russie	43.1884	132.03099999999995	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/2-juillet-1901/66/167221/1
Gaston Stiegler	1901-08-14	Le Matin	Vladivostok	Russie	43.1884	132.03099999999995	Le tour du monde en 63 jours - Vladivostock	https://www.retronews.fr/journal/le-matin/14-aout-1901/66/179669/1
Gaston Stiegler	1901-07-06	Le Matin	Yokohama	Japon	35.444991	139.636768	Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/6-juillet-1901/66/175581/1
Gaston Stiegler	1901-06-21	Le Matin	Zyalinda	Russie			Le tour du monde en X... jours	https://www.retronews.fr/journal/le-matin/21-juin-1901/66/174637/1
Gaston Stiegler	1901-08-10	Le Matin		Russie	52.7	115.16700000000003	Le tour du monde en 63 jours - La Transbaïkalie - Les exilés	https://www.retronews.fr/journal/le-matin/10-aout-1901/66/174621/1
Gaston Stiegler	1901-08-12	Le Matin		Russie	52.672505852040565	118.75113393587333	Le tour du monde en 63 jours - Sur la Chilka
Gaston Stiegler	1901-08-15	Le Matin		Japon	36.5748441	139.2394179	Le tour du monde en 63 jours - Au Japon	https://www.retronews.fr/journal/le-matin/15-aout-1901/66/187913/1
Gaston Stiegler	1901-08-16	Le Matin		Japon	36.5748441	139.2394179	Le tour du monde en 63 jours - La maison de thé	https://www.retronews.fr/journal/le-matin/16-aout-1901/66/168233/1
Gaston Stiegler	1901-08-19	Le Matin		Etats-Unis	39.7837304	-100.4458825	Le tour du monde en 63 jours - En Amérique	https://www.retronews.fr/journal/le-matin/19-aout-1901/66/174619/1
Gaston Stiegler	1901-08-20	Le Matin		Etats-Unis	39.7837304	-100.4458825	Le tour du monde en 63 jours - Paysages - Minneapolis - Chicago	https://www.retronews.fr/journal/le-matin/20-aout-1901/66/164231/1
