REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Jean et Jérôme Tharaud	1935-09-16	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/16-septembre-1935/131/101187/3
Jean et Jérôme Tharaud	1935-09-26	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/26-septembre-1935/131/96277/1
Jean et Jérôme Tharaud	1935-09-28	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/28-septembre-1935/131/107739/1
Jean et Jérôme Tharaud	1935-10-02	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/02-octobre-1935/131/101183/1
Jean et Jérôme Tharaud	1935-10-05	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/05-octobre-1935/131/98219/5
Jean et Jérôme Tharaud	1935-10-09	Paris-Soir	Addis-Abéba	Ethiopie	8.980603	38.757761		https://www.retronews.fr/journal/paris-soir/09-octobre-1935/131/99179/1
Jean et Jérôme Tharaud	1935-03-07	Paris-Soir	Alger	Algérie	36.6997294	3.0576198999999633		https://www.retronews.fr/journal/paris-soir/07-mars-1935/131/105607/5
Jean et Jérôme Tharaud	1940-04-02	Paris-Soir	Bagdad	Irak	33.3386485	44.39386877		https://www.retronews.fr/journal/paris-soir/02-avril-1940/131/107245/1
Jean et Jérôme Tharaud	1936-09-21	L'Echo de Paris	Barcelone	Espagne	41.3850	2.1734034999999494		https://www.retronews.fr/journal/l-echo-de-paris/21-septembre-1936/120/607431/1
Jean et Jérôme Tharaud	1936-09-23	L'Echo de Paris	Barcelone	Espagne	41.3850	2.1734034999999494		https://www.retronews.fr/journal/l-echo-de-paris/23-septembre-1936/120/615999/1
Jean et Jérôme Tharaud	1936-09-25	L'Echo de Paris	Barcelone	Espagne	41.3850	2.1734034999999494		https://www.retronews.fr/journal/l-echo-de-paris/25-septembre-1936/120/607429/1
Jean et Jérôme Tharaud	1936-09-27	L'Echo de Paris	Barcelone	Espagne	41.3850	2.1734034999999494		https://www.retronews.fr/journal/l-echo-de-paris/27-septembre-1936/120/614009/1
Jean et Jérôme Tharaud	1936-09-28	L'Echo de Paris	Barcelone	Espagne	41.3850	2.1734034999999494		https://www.retronews.fr/journal/l-echo-de-paris/28-septembre-1936/120/612997/1
Jean et Jérôme Tharaud	1932-04-10	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/10-avril-1932/131/100229/1
Jean et Jérôme Tharaud	1933-02-03	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/03-fevrier-1933/131/104953/5
Jean et Jérôme Tharaud	1933-02-04	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/04-fevrier-1933/131/102973/1
Jean et Jérôme Tharaud	1933-02-06	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/06-fevrier-1933/131/98465/1
Jean et Jérôme Tharaud	1933-02-07	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/07-fevrier-1933/131/103975/1
Jean et Jérôme Tharaud	1933-02-09	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/09-fevrier-1933/131/104949/1
Jean et Jérôme Tharaud	1936-03-12	Paris-Soir	Berlin	Allemagne	52.52181866	13.40154862		https://www.retronews.fr/journal/paris-soir/12-mars-1936/131/108571/7
Jean et Jérôme Tharaud	1940-03-22	Paris-Soir	Beyrouth	Liban	33.87197512	35.50970821		https://www.retronews.fr/journal/paris-soir/22-mars-1940/131/104235/1
Jean et Jérôme Tharaud	1940-03-25	Paris-Soir	Beyrouth	Liban	33.87197512	35.50970821		https://www.retronews.fr/journal/paris-soir/25-mars-1940/131/104231/1
Jean et Jérôme Tharaud	1932-05-15	Paris-Soir	Bucarest	Roumanie	44.4267674	26.102538399999958		https://www.retronews.fr/journal/paris-soir/15-mai-1932/131/106937/1
Jean et Jérôme Tharaud	1932-05-19	Paris-Soir	Bucarest	Roumanie	44.4267674	26.102538399999958		https://www.retronews.fr/journal/paris-soir/19-mai-1932/131/108867/1
