REPORTER	DATE	JOURNAL	VILLE	PAYS	LATITUDE	LONGITUDE	TITRE	SUJET	URL	A_LA_UNE
Alexis Danan	1926-11-16	L'Intransigeant	Paris	France	48.856614	2.3522219	Un petit garçon est mort..	mort de son fils	https://www.retronews.fr/journal/l-intransigeant/16-novembre-1926/44/923083/1	O
Alexis Danan	1927-02-02	Paris-Soir	Paris	France	48.856614	2.3522219	La crise de chômage est dès à présent très sérieuse	sur le chômage	https://www.retronews.fr/journal/paris-soir/2-fevrier-1927/131/101553/1	O
Alexis Danan	1927-09-24	Paris-Soir	Paris	France	48.856614	2.3522219	Demain : on fera rendre gorge aux lotisseurs coupables. Aujourd'hui : il faut venir en aide aux 'mal lotis' dupés	logement	https://www.retronews.fr/journal/paris-soir/24-septembre-1927/131/106065/1	O
Alexis Danan	1928-05-02	Paris-Soir	Paris	France	48.856614	2.3522219	Autour des berceaux sans joie	assistance publique	https://www.retronews.fr/journal/paris-soir/2-mai-1928/131/99051/1	O
Alexis Danan	1929-03-18	Paris-Soir	Paris	France	48.856614	2.3522219	Le service de santé nous avoue qu'il n'y a plus assez de médecins militaires pour veiller efficacement sur la santé de nos soldats	santé	https://www.retronews.fr/journal/paris-soir/18-mars-1929/131/102571/1	O
Alexis Danan	1929-11-30	Paris-Soir	Paris	France	48.856614	2.3522219	Et voilà pourquoi, Parisiens, vos impôts sont si lourds !	impôts	https://www.retronews.fr/journal/paris-soir/30-novembre-1929/131/104649/1	O
Alexis Danan	1930-01-26	Paris-Soir	Paris	France	48.856614	2.3522219	Pour les enfants des taudis, les Colonies de vacances doivent être gratuites et obligatoires	enfants des taudis	https://www.retronews.fr/journal/paris-soir/26-janvier-1930/131/105843/1	O
Alexis Danan	1931-02-21	Paris-Soir	Paris	France	48.856614	2.3522219	Le Tenancier dans la cité	police	https://www.retronews.fr/journal/paris-soir/21-fevrier-1931/131/97011/1	O
Alexis Danan	1932-08-02	Paris-Soir	Desenzano	Italie	45.4689	10.535	Mon expérience a pleinement réussi' nous déclare à Desenzano le professeur Piccard	voyage en ballon	https://www.retronews.fr/journal/paris-soir/21-aout-1932/131/108849/1	O
Alexis Danan	1934-09-25	Paris-Soir	Paris	France	48.856614	2.3522219	Un ancien colon de maison de correctionnelle évoque ses souvenirs du 'bagne d'enfants'	bagne	https://www.retronews.fr/journal/paris-soir/25-septembre-1934/131/1193395/1	O
Alexis Danan	1935-01-04	Paris-Soir	Paris	France	48.856614	2.3522219	VIVRE ! VIVRE !	logements	https://www.retronews.fr/journal/paris-soir/4-janvier-1935/131/1192971/5	O
Alexis Danan	1937-01-10	Paris-Soir	Paris	France	48.856614	2.3522219	Vingt jeunes instituteurs volontaires vont prendre la place des surveillants dans ce qui fut les bagnes d'enfants	bagne	https://www.retronews.fr/journal/paris-soir/10-janvier-1937/131/112891/1	O
Andrée Viollis	1917-03-05	L'Echo d'Alger	Londres	Angleterre	51.5073513	-0.12775829999998228		Lloyd George homme d'Etat britannique	https://www.retronews.fr/journal/l-echo-d-alger/05-mars-1917/30/1291751/1	
Andrée Viollis	1917-09-16	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		L'action de lord Rhondda, au ministère de la nourriture	https://www.retronews.fr/journal/le-petit-parisien/16-septembre-1917/2/75972/1	
Andrée Viollis	1917-12-02	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Discours Llyod Georges sur la guerre	https://www.retronews.fr/journal/le-petit-parisien/02-decembre-1917/2/75818/1	
Andrée Viollis	1918-05-26	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Déclarations de Sir William Weir, minsitre anglais de l'aéronautique	https://www.retronews.fr/journal/le-petit-parisien/26-mai-1918/2/75472/1	
Andrée Viollis	1922-11-25	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Erskine Children	https://www.retronews.fr/journal/le-petit-parisien/25-novembre-1922/2/54298/1	
Andrée Viollis	1922-12-06	Le Petit Parisien	Tulle	France	45.26565	1.7716970000000174		Audience sur la culpabilité d'Angèle Laval	https://www.retronews.fr/journal/le-petit-parisien/06-decembre-1922/2/54280/1	
Andrée Viollis	1923-03-28	Le Petit Parisien	Paris	France	48.86669293	2.333335326		L'hommage de Paris Ã Sarah Bernhardt	https://www.retronews.fr/journal/le-petit-parisien/28-mars-1923/2/54088/1	
Andrée Viollis	1923-04-29	Le Petit Parisien	Lausanne	Suisse	46.53042727	6.650022744		Conférence de Lausanne	https://www.retronews.fr/journal/le-petit-parisien/29-avril-1923/2/2002369/1	
Andrée Viollis	1923-05-01	Le Petit Parisien	Lausanne	Suisse	46.53042727	6.650022744		Réunion Ã Lausanne Palace	https://www.retronews.fr/journal/le-petit-parisien/01-mai-1923/2/54036/1	
Andrée Viollis	1923-05-12	Le Petit Parisien	Lausanne	Suisse	46.53042727	6.650022744		Réunion après le meurtre de Vorovsky	https://www.retronews.fr/journal/le-petit-parisien/12-mai-1923/2/54018/1	
Andrée Viollis	1923-10-13	Le Petit Parisien	Tourcoing	France	50.724993	3.1620699999999715		Orotario de Rota Rinaldi	https://www.retronews.fr/journal/le-petit-parisien/13-octobre-1923/2/1992127/1	
Andrée Viollis	1923-12-20	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Germaine Berton devant les assises	https://www.retronews.fr/journal/le-petit-parisien/20-decembre-1923/2/1992027/1	
Andrée Viollis	1924-10-16	Le Petit Parisien	Tours	France	47.38037539	0.699946654			https://www.retronews.fr/journal/le-petit-parisien/16-octobre-1924/2/53224/1	
Andrée Viollis	1924-10-17	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Dépouille d'Anatole France Ã Paris	https://www.retronews.fr/journal/le-petit-parisien/17-octobre-1924/2/53222/1	
Andrée Viollis	1924-12-16	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Rencontre avec le ministre des affaires étrangères de Yougoslavie, Nintchitch	https://www.retronews.fr/journal/le-petit-parisien/16-decembre-1924/2/53108/1	
Andrée Viollis	1924-12-23	L'Homme Libre	Paris	France	48.86669293	2.333335326			https://www.retronews.fr/journal/l-homme-libre/23-decembre-1924/223/1085493/1	
Andrée Viollis	1925-04-27	Le Petit Parisien	Colombes	France	48.92206150000001	2.2533313000000135		Final coupe de Football	https://www.retronews.fr/journal/le-petit-parisien/27-avril-1925/2/52866/1	
Andrée Viollis	1925-12-13	Le Petit Parisien	Paris - théÃ¢tre Sarah bernhardt	France	48.86669293	2.333335326		Ceux qui nous distraient' - Vilbert	https://www.retronews.fr/journal/le-petit-parisien/13-decembre-1925/2/52444/1	
Andrée Viollis	1926-01-03	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Ceux qui nous amusent'- Parisys	https://www.retronews.fr/journal/le-petit-parisien/03-janvier-1926/2/52402/1	
Andrée Viollis	1926-02-14	Le Petit Parisien	Cannes	France	43.55284700000001	7.017369000000031		Matches de tennis entre Lenglen et Wills Ã Cannes	https://www.retronews.fr/journal/le-petit-parisien/14-fevrier-1926/2/52326/1	
Andrée Viollis	1926-02-16	Le Petit Parisien	Cannes	France	43.55284700000001	7.017369000000031		Matches de tennis entre Lenglen et Wills Ã Cannes	https://www.retronews.fr/journal/le-petit-parisien/16-fevrier-1926/2/52322/1	
Andrée Viollis	1926-02-18	Le Petit Parisien	Cannes	France	43.55284700000001	7.017369000000031		Lenglen a besoin de repos	https://www.retronews.fr/journal/le-petit-parisien/18-fevrier-1926/2/2002259/1	
Andrée Viollis	1926-03-03	Le Petit Parisien	Quimper	France	47.997542	-4.097898999999984		Sauvetage de deux gardiens du phare	https://www.retronews.fr/journal/le-petit-parisien/03-mars-1926/2/52294/1	
Andrée Viollis	1926-04-28	Le Petit Parisien	NÃ®mes	France	43.83038535	4.350008096		Le procès de la Goule de St Gilles	https://www.retronews.fr/journal/le-petit-parisien/28-avril-1926/2/52206/1	
Andrée Viollis	1926-05-10	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		La grève	https://www.retronews.fr/journal/le-petit-parisien/10-mai-1926/2/52180/1	
Andrée Viollis	1927-01-25	Le Petit Parisien	Moscou	Russie	55.7504461	37.6174943		Problème de logement	https://www.retronews.fr/journal/le-petit-parisien/25-janvier-1927/2/51666/1	
Andrée Viollis	1927-02-27	Le Petit Parisien	Moscou	Russie	55.7504461	37.6174943		Prison	https://www.retronews.fr/journal/le-petit-parisien/27-fevrier-1927/2/51602/4	
Andrée Viollis	1927-11-21	Le Petit Parisien	Prague	République Tchèque	50.08333701	14.46597978		Visite au Président Masaryk	https://www.retronews.fr/journal/le-petit-parisien/21-novembre-1927/2/51096/1	
Andrée Viollis	1928-03-31	Le Petit Parisien	Lorraine	France	48.8744233	6.2080932000000075		La Lorraine et sa place dans la patrie française	https://www.retronews.fr/journal/le-petit-parisien/31-mars-1928/2/50858/1	
Andrée Viollis	1929-01-18	Le Petit Parisien	Toulon	France	43.13418645	5.918821566		Chez M.Laboeuf, inventeur du sous-marin	https://www.retronews.fr/journal/le-petit-parisien/18-janvier-1929/2/1992581/1	
Andrée Viollis	1929-05-17	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Parlement dissous	https://www.retronews.fr/journal/le-petit-parisien/17-mai-1929/2/50170/1	
Andrée Viollis	1929-05-25	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Agents électroraux en jupon	https://www.retronews.fr/journal/le-petit-parisien/25-mai-1929/2/50158/1	
Andrée Viollis	1929-10-11	Le Petit Parisien	Tashkent	Turkestan	41.2994958	69.24007340000003			https://www.retronews.fr/journal/le-petit-parisien/11-octobre-1929/2/49910/1	
Andrée Viollis	1929-10-18	L'Echo d'Alger	Kaboul	Afghanistan	34.51669029	69.18326005		Nadir Khan élu roi d'Afghanistan	https://www.retronews.fr/journal/l-echo-d-alger/18-octobre-1929/30/1679485/1	
Andrée Viollis	1929-10-18	Le Petit Parisien	Kaboul	Afghanistan	34.51669029	69.18326005		Prise de Kaboul par les troupes Chavkali Khan	https://www.retronews.fr/journal/le-petit-parisien/18-octobre-1929/2/49904/1	
Andrée Viollis	1929-10-21	L'Echo d'Alger	Kaboul	Afghanistan	34.51669029	69.18326005		Le roi Nadi Khan	https://www.retronews.fr/journal/l-echo-d-alger/21-octobre-1929/30/1673813/1	
Andrée Viollis	1930-04-09	Le Petit Parisien	Bombay	Inde	19.0759837	72.87765590000004	Le 'Petit Parisien' dans l'Inde. L'exemple du 'briseur de lois' est suivi par ses troupes	Gandhi suivi par la foule	https://www.retronews.fr/journal/le-petit-parisien/09-avril-1930/2/58760/1	
Andrée Viollis	1930-04-14	Le Petit Parisien	Navsari	Inde	20.9467019	72.95203479999998		Zoom sur les marche pacifiste de Gandhi	https://www.retronews.fr/journal/le-petit-parisien/14-avril-1930/2/58756/1	
Andrée Viollis	1930-04-16	Le Petit Parisien	Navsari	Inde	20.9467019	72.95203479999998		Zoom dans le camp de Gandhi	https://www.retronews.fr/journal/le-petit-parisien/16-avril-1930/2/58754/1	
Andrée Viollis	1930-04-16	Le Petit Parisien	Navsari	Inde	20.9467019	72.95203479999998		Gandhi et l'indépendance	https://www.retronews.fr/journal/le-petit-parisien/16-avril-1930/2/58754/1	
Andrée Viollis	1930-06-20	Le Petit Parisien	Bengalore	Inde	12.9715987	77.59456269999998		Arrestation contre marche de l'indépendance	https://www.retronews.fr/journal/le-petit-parisien/20-juin-1930/2/2002381/1	
Andrée Viollis	1930-07-02	Le Petit Parisien	Bombay	Inde	19.0759837	72.87765590000004		Arestation de Motilal Nehru	https://www.retronews.fr/journal/le-petit-parisien/02-juillet-1930/2/58640/1	
Andrée Viollis	1930-07-12	Le Petit Parisien	Ahmedabad	Inde	23.022505	72.57136209999999		Une visite dans la capitale spirituelle du gandhisme	https://www.retronews.fr/journal/le-petit-parisien/12-juillet-1930/2/58624/1	
Andrée Viollis	1930-08-04	Le Petit Parisien	Le Caire	Egypte	30.0444196	31.23571160000006		Projet de Sidky Pacha	https://www.retronews.fr/journal/le-petit-parisien/04-aout-1930/2/58582/1	
Andrée Viollis	1930-10-15	Le Petit Parisien	Bombay	Inde	19.0759837	72.87765590000004		Annglettere va t-elle perdre l'Inde	https://www.retronews.fr/journal/le-petit-parisien/15-octobre-1930/2/1992625/1	
Andrée Viollis	1930-10-22	Le Petit Parisien	Bombay	Inde	19.0759837	72.87765590000004		Main prise de l'Angleterre sur l'Inde	https://www.retronews.fr/journal/le-petit-parisien/22-octobre-1930/2/1992627/1	
Andrée Viollis	1930-11-17	Le Petit Parisien	Bombay	Inde	19.0759837	72.87765590000004		Mouvement ouvrier Hindu	https://www.retronews.fr/journal/le-petit-parisien/17-novembre-1930/2/58418/1	
Andrée Viollis	1931-04-09	Le Petit Parisien	Bruxelles	Belgique	50.8503396	4.351710300000036		Duc de Guise , la vie d'un exilé	https://www.retronews.fr/journal/le-petit-parisien/09-avril-1931/2/1992713/1	
Andrée Viollis	1931-04-10	L'Action française	Bruxelles	Belgique	50.8503396	4.351710300000036		Duc de Guise	https://www.retronews.fr/journal/l-action-francaise/10-avril-1931/4/505403/1	
Andrée Viollis	1931-10-05	Le Petit Parisien	Colombo	Sri Lanka	6.931965758	79.85775061		Voyage du ministre des colonies	https://www.retronews.fr/journal/le-petit-parisien/05-octobre-1931/2/58010/5	
Andrée Viollis	1931-11-09	Le Petit Parisien	Hanoi		21.0031177	105.82014079999999		Paul Reynaud est Ã Hanoi	https://www.retronews.fr/journal/le-petit-parisien/09-novembre-1931/2/1992831/1	
Andrée Viollis	1931-11-20	Le Petit Parisien	Saïgon	Indochine (auj. Vietnam)	10.8230989	106.6296638		Discours du ministre des Colonies, M.Reynaud	https://www.retronews.fr/journal/le-petit-parisien/20-novembre-1931/2/1992961/1	
Andrée Viollis	1931-12-24	Le Petit Parisien	Hong Kong	Chine	22.3049809	114.1850093		Face aux attaques japonaise	https://www.retronews.fr/journal/le-petit-parisien/24-decembre-1931/2/57954/1	
Andrée Viollis	1931-12-24	Le Petit Parisien	Hong-Kong	Chine	22.31920109999999	114.1696121		Réaction face aux agressions japonaises	https://www.retronews.fr/journal/le-petit-parisien/24-decembre-1931/2/57954/1	
Andrée Viollis	1931-12-25	Le Petit Parisien	Hong Kong	Chine	22.3049809	114.1850093		Crise politique chinoise	https://www.retronews.fr/journal/le-petit-parisien/25-decembre-1931/2/1992843/1	
Andrée Viollis	1932-01-28	Le Petit Parisien	Nanki	Chine	32.060255	118.796877		La colere monte contre le Japon	https://www.retronews.fr/journal/le-petit-parisien/28-janvier-1932/2/57928/1	
Andrée Viollis	1932-02-27	Le Petit Parisien	Shangai	Chine	31.230416	121.473701		Blessé de guerre en chine	https://www.retronews.fr/journal/le-petit-parisien/27-fevrier-1932/2/57898/1	
Andrée Viollis	1932-04-06	Le Petit Parisien	Tokyo	Japon	35.68501691	139.7514074			https://www.retronews.fr/journal/le-petit-parisien/06-avril-1932/2/1993283/1	
Andrée Viollis	1932-04-06	Le Petit Parisien	Tokyo (Tokio)	Japon	35.68501691	139.7514074		A la différence de Shanghai (Changai), pas d'ambiance de guerre	https://www.retronews.fr/journal/le-petit-parisien/06-avril-1932/2/1993283/1	
Andrée Viollis	1932-04-07	Le Petit Parisien	Tokyo (Tokio)	Japon	35.68501691	139.7514074		Entretien avec le ministre des affaires étrangères Yoshizawa	https://www.retronews.fr/journal/le-petit-parisien/07-avril-1932/2/1993369/1	
Andrée Viollis	1932-04-26	Le Petit Parisien	Tokyo (Tokio)	Japon	35.68501691	139.7514074		Le ressenti du Japon contre la SDN	https://www.retronews.fr/journal/le-petit-parisien/26-avril-1932/2/1993157/1	
Andrée Viollis	1932-05-01	Le Petit Parisien	Tokyo (Tokio)	Japon	35.68501691	139.7514074		Cérémonie pour l'empereur et son armée	https://www.retronews.fr/journal/le-petit-parisien/01-mai-1932/2/1993347/1	
Andrée Viollis	1932-05-17	Le Petit Parisien	Kyoto	Japon	35.02999229	135.7499979		Attentat contre M. Inukai (Ministre)	https://www.retronews.fr/journal/le-petit-parisien/17-mai-1932/2/2002509/1	
